ID,Category,"Is related to researchers (yes=1, no=0, unknown=2)"
24101706,Trolleys or accessories,0
44101501,Photocopiers,0
46171619,Security or access control systems,0
81141704,Production statistics collection or analysis services,2
80131800,Real estate management services,0
31300000,Machined forgings,0
43232408,Web platform development software,0
81112010,Data conversion service,0
46191600,Fire fighting equipment,0
31161500,Screws,0
43232403,Enterprise application integration software,0
43231505,Human resources software,0
32121500,Capacitors,0
39121500,Switches and controls and relays and accessories,0
30161700,Flooring,0
72102902,Landscaping services,0
30222702,Cold storage installations,0
90151502,Historical or cultural sites,0
27112809,Tool holders,0
24112401,Tool chests or boxes or cabinets,0
31151500,Ropes,0
27126100,Hydraulic tools,0
25201904,Parachutes,0
46171600,Surveillance and detection equipment,0
83112202,Frame relay public managed network services,0
25111503,Cargo or container ships,0
92101600,Fire services,0
81101506,Naval architecture,0
52161520,Microphones,0
25201600,Aerospace location and navigation systems and components,0
42201815,Medical x ray units for general diagnostic use,0
45111704,Audio mixing consoles,0
84121607,Operating lease finance service,0
24101603,Forklifts,0
81111704,Database design,0
43232200,Content management software,0
41103903,Benchtop centrifuges,0
41111500,Weight measuring instruments,0
80111608,Temporary information technology software developers,0
92121701,Surveillance or alarm maintenance or monitoring,0
81111504,Application programming services,0
41114400,Meteorological instruments,0
41112401,Depth gauges,0
30201801,Shelters,0
83111804,Television broadcasting station management,0
23231200,Circular saws and accessories,0
60101600,Educational certificates or diplomas,0
30201601,Houses,0
31261702,Mounted generator set noise control enclosure,0
55121600,Labels,0
83121604,Online database information retrieval systems,0
78131602,File archive storage,0
30161801,Cabinets,0
26121541,Bus conductors,0
25172000,Suspension system components,0
39121104,Motor control centres,0
80141605,Promotional merchandise,0
43211711,Scanners,0
41113600,Electrical measuring and testing equipment,0
31161600,Bolts,0
23231100,Bandsaws and accessories,0
31151601,Safety chains,0
31163100,Connectors,0
31151708,Guy cables,0
86101802,Re training or refreshing training services,0
23232000,Lumber surfacers and accessories,0
27112134,Longnose pliers,0
42181516,Electromyography EMG units or accessories,0
42141807,Transcutaneous electric nerve stimulation units,0
40151601,Air compressors,0
41111900,Indicating and recording instruments,0
27131603,Air regulators,0
43232502,Computer based training software,0
60105500,Home and interior design instructional materials,0
23101500,Machinery for working wood and stone and ceramic and the like,0
32101512,Demodulators,0
60105400,Consumer economics and money management and independent living instructional materials,0
31152002,Barbed wire,0
24111802,Air or gas tanks or cylinders,0
42182401,Audiometers or accessories,0
46181810,Eyewashers or eye wash stations,0
55101515,Promotional material or annual reports,0
85121810,Drug or alcohol screening,0
82111701,Article writers services,0
46171500,Locks and security hardware and accessories,0
25201705,Aircraft telemetry systems,0
77111600,Environmental rehabilitation,0
45112000,Microfilm equipment and supplies,0
48110000,Vending machines,0
41112802,Tachometers,0
41111901,Counters,0
41103900,Laboratory centrifuges and accessories,0
41115320,Signal generators,0
42272001,Laryngoscopes or accessories,0
83111507,Call centre bureau services,0
20122600,Seismic equipment,0
30222504,Daycare centre,0
27111706,Open end wrenches,0
31161501,Cap screws,0
39121004,Power supply units,0
41114410,Weather stations,0
80161500,Management support services,0
70171500,Development,0
81111509,Internet or intranet client application development services,0
81102201,Traffic engineering,0
93151508,Government departments services,0
25171713,Disc brake pads,0
24102004,Storage racks or shelves,0
46181504,Protective gloves,0
41113630,Multimeters,0
90151603,Art exhibitions,0
92111700,Military science and research,1
49130000,Fishing and hunting equipment,0
45121501,Still cameras,0
82100000,Advertising,0
27111902,Files,0
60105410,Relationship building or family life skills instructional materials,0
81151900,Geophysics,2
82111604,Transcribing services,0
70111507,Removal services or ornamental plant or bush or tree,0
46182300,Fall protection and rescue equipment,0
52151506,Domestic disposable food containers,0
41112404,Pressure regulator,0
77101701,Environmental sciences advisory services,1
42201820,Medical radiographic equipment grids,0
39121011,Uninterruptible power supplies,0
40151606,Reciprocating compressors,0
42280000,Medical sterilisation products,0
85141504,Energy work,0
81112200,Software maintenance and support,0
85121600,Medical doctors specialist services,0
44121505,Specialty envelopes,0
20111603,Hammer drills,0
43212110,Multi function printers,0
80111613,Temporary manual labour,0
92111501,Dispute mediation or conciliation or negotiation or settlement,0
53121602,Duffel bags,0
80111702,Reference or background check services,0
31171509,Sleeve bearings,0
31161505,Set screws,0
81111705,Systems architecture,0
41123003,Desiccants,0
80141611,Official gift services,0
83121500,Libraries,0
31242100,Optical device accessories,0
25102003,Self propelled artillery,0
31181600,Seals,0
10161800,Non flowering plants,0
70131702,Land evaluation,0
71123000,Mining and oil and gas integrated services,0
25111500,Commercial marine craft,0
83101900,Energy conservation,0
25191703,Tyre changing machines,0
13111200,Films,0
53102504,Gloves or mittens,0
71161605,Oilfield consultancy services,0
42272223,Breathing apparatus accessories or supplies,0
53112002,Shoelaces,0
93141610,Demographic studies,0
77101705,Environmental economics advisory services,2
78141802,Vessel docking services,0
41113638,Oscilloscopes,0
52152013,Spice or salt or pepper shakers,0
85111508,Viral diseases prevention or control services,0
83101510,Chilled water,0
41113000,Chemical evaluation instruments and supplies,0
25191506,Aircraft refuelling equipment,0
31242202,Polarisers,0
31161901,Helical springs,0
93141501,Social policy services,2
